Age;CreditScore;MaritalStatus;Education;Default
67;529;0;2;0
64;328;0;0;1
35;523;0;2;1
66;742;0;2;0
50;453;1;0;0
68;729;0;2;0
54;696;2;2;0
65;373;1;3;0
66;820;0;2;0
56;427;0;0;0
32;804;2;1;0
49;729;2;3;0
28;685;2;2;0
22;833;0;1;0
26;827;0;1;1
36;646;0;0;1
35;806;1;2;0
22;775;0;3;1
69;674;0;2;0
54;795;1;1;0
63;846;2;3;0
29;308;1;0;1
23;555;2;0;0
57;697;0;0;0
66;319;0;0;1
56;446;1;2;0
67;673;1;0;1
62;479;2;3;0
18;750;1;2;1
63;303;1;2;0
24;466;2;3;0
34;600;0;2;0
23;471;1;3;1
23;307;1;1;1
49;467;1;0;0
36;520;2;0;1
50;640;1;0;1
30;365;1;0;1
38;682;0;0;1
59;729;1;0;0
68;600;2;1;1
31;346;2;3;1
68;345;1;0;0
60;400;1;3;0
20;542;1;1;0
61;758;0;1;1
57;555;1;3;1
54;368;2;0;1
43;585;0;0;1
24;540;1;0;1
34;334;0;0;1
39;799;2;1;1
54;329;0;3;0
36;675;1;2;1
60;797;1;0;0
48;773;1;2;1
24;757;1;2;0
58;692;2;2;0
56;607;1;2;0
50;469;0;2;1
67;458;1;2;0
36;410;1;2;1
22;472;1;1;1
59;560;1;0;1
60;802;2;1;0
25;388;2;0;1
44;509;0;0;1
69;343;1;1;0
47;446;0;3;1
37;352;1;2;1
56;676;2;3;0
50;791;2;3;0
45;537;0;2;0
44;475;2;1;0
33;516;1;2;0
35;828;0;3;0
48;447;2;0;0
34;706;1;3;1
55;444;0;3;1
25;646;1;0;1
30;340;1;2;1
36;805;0;2;1
56;458;1;1;1
60;676;0;1;0
23;597;0;0;1
28;536;0;2;0
24;765;2;1;0
47;748;1;1;0
53;494;1;3;1
27;418;2;1;1
26;314;0;0;1
61;464;2;2;0
69;575;2;2;0
40;626;1;2;0
58;638;0;1;0
25;596;2;0;1
32;796;2;3;1
42;836;1;3;1
24;607;2;2;0
66;662;0;0;0
65;628;2;0;0
66;658;2;3;0
53;586;0;3;0
20;325;2;3;1
59;333;2;1;0
58;713;2;3;0
65;386;2;2;0
26;527;1;2;0
34;766;0;0;1
60;573;1;2;0
32;730;2;2;0
38;599;2;2;0
29;674;1;1;1
63;374;2;0;0
68;423;0;3;0
52;666;0;0;1
61;385;2;2;0
50;635;1;3;0
65;311;1;0;0
61;574;0;2;0
50;479;2;3;0
49;538;1;3;0
24;727;0;2;1
35;470;0;2;0
69;793;2;0;0
46;375;0;1;1
57;615;1;2;0
62;380;2;1;1
41;348;0;0;1
46;510;0;0;1
39;380;2;1;1
38;589;0;2;1
51;521;2;0;0
36;448;0;3;0
31;415;0;0;1
28;393;0;1;1
20;711;1;1;1
59;358;2;0;1
50;778;0;3;0
53;740;1;3;0
21;781;1;2;1
60;597;0;2;1
43;532;1;0;1
26;303;0;1;1
35;329;0;3;1
39;467;1;2;1
54;458;2;0;1
31;815;0;2;1
20;381;2;0;1
57;503;0;0;1
48;667;0;3;0
23;705;0;2;1
24;356;2;1;1
44;515;2;0;1
45;780;1;3;0
69;400;2;1;0
25;575;2;1;1
53;444;1;1;1
30;341;2;2;1
53;606;2;2;0
43;520;2;1;0
31;813;1;1;1
26;398;2;2;0
55;730;2;3;0
66;640;2;3;0
35;597;1;2;1
49;365;1;3;0
48;785;2;1;0
36;449;2;3;1
48;806;0;3;0
25;764;2;0;1
53;798;2;0;0
19;725;0;1;1
30;396;1;1;1
43;719;2;1;0
53;320;1;2;1
66;579;0;0;1
29;844;1;0;1
61;667;2;3;0
25;842;1;3;0
44;393;0;0;1
23;610;2;3;1
37;668;2;1;0
49;807;2;0;0
29;523;1;0;1
20;414;2;0;1
29;835;1;0;1
36;603;2;1;1
41;838;1;3;0
65;594;2;3;0
56;542;0;1;0
19;418;2;2;1
50;404;2;0;1
21;487;2;3;1
25;827;2;1;0
54;723;2;3;0
52;568;0;3;0
26;461;2;3;1
27;466;2;2;1
67;358;0;1;1
18;346;0;1;1
30;387;2;2;0
52;317;0;1;1
47;558;2;0;1
40;381;1;0;1
29;497;2;2;0
59;529;2;0;0
47;846;1;0;1
44;453;0;2;1
61;383;0;3;0
23;314;1;3;1
24;565;0;3;0
31;498;2;2;1
69;741;2;3;0
26;415;1;1;1
22;748;1;1;0
21;380;1;2;1
33;805;2;1;0
56;367;0;1;1
46;758;0;3;0
48;725;1;3;0
39;369;2;3;0
32;327;2;1;1
40;387;0;0;1
33;741;1;1;0
53;345;0;3;1
22;349;1;2;1
20;524;1;3;1
40;824;2;2;0
24;667;2;2;0
21;793;1;1;0
23;710;1;0;1
57;584;1;3;0
43;561;1;1;1
44;337;2;0;0
19;693;1;0;1
55;312;1;2;1
56;825;0;0;0
52;781;0;0;1
39;759;0;0;1
62;382;0;3;0
42;779;2;0;0
31;815;0;2;1
26;665;0;0;1
39;561;1;0;0
41;831;2;1;0
50;346;2;0;0
46;468;0;0;0
51;848;2;3;0
40;579;0;3;1
19;387;0;2;1
59;329;0;3;1
69;492;0;2;0
43;765;0;3;0
29;372;1;1;0
67;829;1;2;0
28;643;2;2;1
60;738;0;0;0
60;823;1;0;0
50;525;2;2;0
20;310;2;3;0
65;431;2;3;0
40;469;0;3;0
20;374;1;1;1
35;741;0;2;0
65;755;0;2;0
66;618;1;3;0
58;464;0;2;1
28;570;2;3;1
60;618;2;2;0
53;539;1;2;0
44;672;0;2;0
35;366;1;0;1
65;340;2;3;0
29;472;2;1;0
50;454;1;0;1
56;696;2;1;0
18;623;1;1;1
49;364;0;2;1
29;836;0;2;0
23;579;2;0;1
41;666;0;1;1
63;400;1;2;0
52;497;1;1;0
51;704;1;3;0
22;458;2;3;1
57;654;0;0;0
26;816;2;1;1
31;811;1;2;0
64;823;0;1;0
62;770;2;2;0
33;763;2;0;1
36;730;0;2;0
60;832;2;2;0
36;481;1;1;1
28;405;2;2;0
52;763;2;2;0
56;343;2;2;0
30;588;0;0;1
52;310;0;3;0
66;729;2;3;0
32;458;0;1;0
44;714;1;0;1
27;458;0;2;0
24;553;0;3;1
26;656;2;1;1
42;362;1;1;1
26;357;2;1;1
29;717;0;2;0
52;799;1;1;0
19;807;1;2;1
29;358;2;3;1
