Age,Income,CreditScore,Education,EmploymentType,MaritalStatus,Default
36.0,149356.0,500.0,1.0,2.0,1.0,0
33.0,108332.0,752.0,1.0,2.0,2.0,0
69.0,97691.0,604.0,0.0,3.0,0.0,0
43.0,82333.0,396.0,2.0,0.0,2.0,0
46.0,104556.0,357.0,0.0,3.0,0.0,0
44.0,56992.0,732.0,2.0,0.0,0.0,0
59.0,58344.0,360.0,1.0,3.0,2.0,0
43.0,103107.0,353.0,2.0,0.0,1.0,0
53.0,52316.0,818.0,3.0,3.0,2.0,0
66.0,73428.0,634.0,1.0,1.0,2.0,0
26.0,82333.0,707.0,3.0,1.0,1.0,0
53.0,105195.0,602.0,2.0,0.0,2.0,0
20.0,121971.0,473.0,1.0,1.0,0.0,1
20.0,61849.0,573.0,0.0,3.0,0.0,0
69.0,57690.0,402.0,2.0,2.0,1.0,0
31.0,144239.0,826.0,1.0,2.0,2.0,0
50.0,82333.0,380.0,1.0,2.0,0.0,0
20.0,55359.0,395.0,1.0,1.0,1.0,0
52.0,54712.0,776.0,3.0,3.0,0.0,1
43.0,94070.0,454.0,3.0,3.0,1.0,0
30.0,82333.0,573.0,1.0,0.0,1.0,0
50.0,116897.0,302.0,1.0,3.0,2.0,0
31.0,128623.0,320.0,1.0,2.0,2.0,0
43.0,117832.0,618.0,1.0,1.0,0.0,0
46.0,117673.0,740.0,3.0,2.0,2.0,0
62.0,142515.0,345.0,1.0,3.0,2.0,0
42.0,133003.0,527.0,0.0,3.0,0.0,0
42.0,82333.0,745.0,1.0,3.0,2.0,0
34.0,88899.0,436.0,1.0,0.0,0.0,0
40.0,82333.0,599.0,1.0,2.0,1.0,0
29.0,63101.0,711.0,1.0,3.0,2.0,0
63.0,138346.0,663.0,3.0,1.0,1.0,0
24.0,127214.0,417.0,3.0,0.0,0.0,0
56.0,67451.0,481.0,1.0,2.0,0.0,0
43.0,27199.0,749.0,0.0,1.0,2.0,0
43.0,65571.0,666.0,1.0,0.0,2.0,0
48.0,39785.0,344.0,0.0,3.0,1.0,0
42.0,92147.0,703.0,0.0,1.0,1.0,0
32.0,51107.0,330.0,1.0,3.0,2.0,1
27.0,92908.0,367.0,3.0,1.0,2.0,0
23.0,19194.0,523.0,1.0,1.0,0.0,1
31.0,104188.0,573.0,0.0,3.0,2.0,0
33.0,147026.0,727.0,1.0,2.0,0.0,0
19.0,135479.0,848.0,1.0,2.0,1.0,0
39.0,121253.0,574.0,1.0,2.0,2.0,0
43.0,129112.0,336.0,0.0,1.0,1.0,0
32.0,91358.0,802.0,1.0,1.0,1.0,0
41.0,82333.0,730.0,1.0,3.0,1.0,0
43.0,82333.0,456.0,3.0,0.0,2.0,0
69.0,104916.0,512.0,2.0,3.0,2.0,0
62.0,38203.0,710.0,1.0,3.0,0.0,0
24.0,146533.0,573.0,3.0,2.0,2.0,1
48.0,82333.0,466.0,3.0,1.0,2.0,0
30.0,127774.0,597.0,2.0,3.0,2.0,1
43.0,121918.0,352.0,3.0,2.0,2.0,0
45.0,117667.0,820.0,0.0,3.0,0.0,0
32.0,83266.0,537.0,2.0,3.0,1.0,0
41.0,49187.0,779.0,1.0,2.0,2.0,0
63.0,118996.0,487.0,1.0,2.0,1.0,0
43.0,121424.0,652.0,1.0,2.0,1.0,0
22.0,78222.0,573.0,2.0,3.0,1.0,0
54.0,76453.0,412.0,2.0,2.0,0.0,0
62.0,62572.0,725.0,3.0,3.0,0.0,0
63.0,36517.0,750.0,1.0,1.0,2.0,0
25.0,70777.0,733.0,1.0,0.0,2.0,0
54.0,102504.0,403.0,2.0,3.0,0.0,0
50.0,85173.0,305.0,2.0,3.0,0.0,0
20.0,87488.0,727.0,2.0,3.0,2.0,1
49.0,75389.0,326.0,3.0,0.0,2.0,0
67.0,68842.0,490.0,1.0,3.0,2.0,0
25.0,98933.0,529.0,0.0,3.0,0.0,0
60.0,61548.0,573.0,0.0,1.0,2.0,0
18.0,106405.0,740.0,2.0,2.0,0.0,0
60.0,90313.0,353.0,1.0,3.0,2.0,0
41.0,108385.0,338.0,3.0,1.0,1.0,0
18.0,100580.0,396.0,2.0,0.0,1.0,1
57.0,19761.0,706.0,0.0,1.0,2.0,1
21.0,108781.0,757.0,0.0,0.0,0.0,0
25.0,58697.0,483.0,1.0,3.0,2.0,0
30.0,146196.0,407.0,2.0,2.0,2.0,0
47.0,87181.0,702.0,1.0,1.0,2.0,0
62.0,103279.0,573.0,0.0,1.0,0.0,0
43.0,85838.0,411.0,2.0,3.0,2.0,0
44.0,149826.0,302.0,0.0,1.0,0.0,0
43.0,82333.0,814.0,1.0,0.0,2.0,0
60.0,56871.0,739.0,2.0,3.0,0.0,0
64.0,40819.0,645.0,3.0,3.0,2.0,0
31.0,119053.0,637.0,3.0,1.0,1.0,0
55.0,57110.0,791.0,0.0,0.0,1.0,0
61.0,82415.0,641.0,0.0,1.0,0.0,0
66.0,82333.0,573.0,2.0,1.0,2.0,0
55.0,16767.0,760.0,0.0,1.0,0.0,0
35.0,34744.0,313.0,1.0,0.0,0.0,0
57.0,126781.0,820.0,0.0,0.0,0.0,0
24.0,24802.0,628.0,3.0,2.0,2.0,1
32.0,35953.0,354.0,1.0,1.0,0.0,0
40.0,102290.0,722.0,3.0,0.0,0.0,0
54.0,40609.0,751.0,3.0,0.0,1.0,0
50.0,145292.0,701.0,3.0,0.0,1.0,0
61.0,133977.0,707.0,2.0,0.0,2.0,0
22.0,146336.0,343.0,1.0,1.0,2.0,1
43.0,30014.0,383.0,0.0,2.0,0.0,0
68.0,31250.0,573.0,3.0,0.0,0.0,0
61.0,88074.0,571.0,1.0,1.0,0.0,0
43.0,24232.0,645.0,3.0,3.0,2.0,0
58.0,19049.0,834.0,0.0,1.0,2.0,0
43.0,82333.0,643.0,2.0,0.0,2.0,0
57.0,60616.0,573.0,1.0,1.0,0.0,0
61.0,91474.0,624.0,2.0,3.0,2.0,0
23.0,124981.0,716.0,3.0,3.0,1.0,1
39.0,73793.0,716.0,1.0,0.0,0.0,0
34.0,105740.0,589.0,0.0,0.0,2.0,0
68.0,122554.0,627.0,1.0,0.0,0.0,0
52.0,67670.0,388.0,3.0,0.0,1.0,0
43.0,83034.0,509.0,2.0,0.0,2.0,0
54.0,127196.0,467.0,1.0,3.0,1.0,0
28.0,119078.0,745.0,3.0,3.0,1.0,1
23.0,82333.0,573.0,2.0,3.0,1.0,0
27.0,82333.0,715.0,3.0,3.0,2.0,0
40.0,115328.0,748.0,2.0,0.0,2.0,1
43.0,149765.0,414.0,2.0,0.0,0.0,0
25.0,88312.0,476.0,3.0,3.0,2.0,0
26.0,82333.0,543.0,3.0,1.0,2.0,1
38.0,129722.0,332.0,0.0,2.0,1.0,0
25.0,75280.0,627.0,1.0,2.0,1.0,0
69.0,55401.0,395.0,3.0,1.0,1.0,0
43.0,51165.0,473.0,3.0,0.0,1.0,0
67.0,51927.0,639.0,3.0,2.0,1.0,0
57.0,51226.0,624.0,1.0,1.0,1.0,0
43.0,54865.0,562.0,3.0,3.0,2.0,0
52.0,95965.0,369.0,0.0,1.0,0.0,0
26.0,56620.0,356.0,0.0,1.0,1.0,1
32.0,83268.0,436.0,0.0,0.0,1.0,1
43.0,113034.0,660.0,2.0,0.0,2.0,0
54.0,88583.0,431.0,2.0,0.0,2.0,0
26.0,120364.0,600.0,1.0,1.0,2.0,0
29.0,129128.0,562.0,2.0,3.0,0.0,0
37.0,145694.0,676.0,0.0,3.0,2.0,0
49.0,27883.0,640.0,1.0,0.0,2.0,0
66.0,98497.0,573.0,1.0,2.0,0.0,0
47.0,66203.0,568.0,2.0,2.0,1.0,0
30.0,89308.0,332.0,2.0,1.0,2.0,0
23.0,50068.0,577.0,2.0,1.0,0.0,1
26.0,36114.0,528.0,1.0,0.0,2.0,0
37.0,41740.0,573.0,1.0,2.0,1.0,0
54.0,142579.0,594.0,2.0,1.0,2.0,0
39.0,102019.0,472.0,0.0,3.0,0.0,0
43.0,56226.0,552.0,2.0,0.0,2.0,0
26.0,124092.0,554.0,1.0,0.0,0.0,0
18.0,21591.0,445.0,1.0,2.0,1.0,1
39.0,63521.0,382.0,3.0,1.0,2.0,0
41.0,82333.0,515.0,1.0,2.0,2.0,0
18.0,84613.0,773.0,1.0,2.0,1.0,0
52.0,87250.0,685.0,1.0,3.0,2.0,0
55.0,84204.0,592.0,1.0,0.0,1.0,0
34.0,90897.0,796.0,1.0,2.0,2.0,0
31.0,82333.0,637.0,0.0,3.0,1.0,1
41.0,52700.0,725.0,0.0,3.0,1.0,0
30.0,38481.0,573.0,1.0,0.0,2.0,1
19.0,136032.0,501.0,0.0,3.0,0.0,0
41.0,21237.0,330.0,0.0,2.0,0.0,1
44.0,86743.0,442.0,0.0,2.0,1.0,0
67.0,52671.0,460.0,1.0,1.0,2.0,0
50.0,33973.0,531.0,2.0,3.0,1.0,0
66.0,42839.0,381.0,1.0,3.0,2.0,0
58.0,143723.0,385.0,1.0,2.0,1.0,0
52.0,46539.0,824.0,3.0,2.0,1.0,0
22.0,41044.0,573.0,3.0,1.0,2.0,0
51.0,86371.0,693.0,3.0,3.0,1.0,0
42.0,54327.0,504.0,1.0,1.0,0.0,0
47.0,94717.0,474.0,1.0,3.0,0.0,0
59.0,33747.0,511.0,3.0,2.0,0.0,0
26.0,85695.0,487.0,3.0,1.0,2.0,0
27.0,104298.0,598.0,3.0,1.0,2.0,0
24.0,73849.0,317.0,2.0,3.0,2.0,0
56.0,114358.0,485.0,3.0,3.0,1.0,0
43.0,82333.0,765.0,3.0,3.0,0.0,0
55.0,118682.0,573.0,0.0,1.0,0.0,0
52.0,29259.0,573.0,3.0,2.0,1.0,0
47.0,15263.0,780.0,2.0,2.0,2.0,1
43.0,75963.0,526.0,0.0,2.0,1.0,0
63.0,19723.0,405.0,0.0,1.0,2.0,0
37.0,115290.0,573.0,3.0,2.0,1.0,0
21.0,52896.0,827.0,3.0,0.0,1.0,0
43.0,55662.0,593.0,1.0,1.0,1.0,0
46.0,78904.0,330.0,2.0,0.0,2.0,0
62.0,98931.0,404.0,1.0,1.0,1.0,0
26.0,82333.0,573.0,3.0,2.0,2.0,0
42.0,82333.0,562.0,0.0,1.0,2.0,0
63.0,32080.0,306.0,2.0,1.0,1.0,0
53.0,84039.0,699.0,3.0,3.0,1.0,0
54.0,28903.0,665.0,2.0,3.0,1.0,1
24.0,65688.0,486.0,2.0,1.0,0.0,0
64.0,124304.0,542.0,1.0,1.0,1.0,0
20.0,132468.0,423.0,1.0,2.0,1.0,0
35.0,134827.0,486.0,0.0,1.0,1.0,0
69.0,85800.0,392.0,1.0,2.0,0.0,0
48.0,142052.0,746.0,1.0,0.0,2.0,0
27.0,22675.0,327.0,1.0,0.0,1.0,1
32.0,75618.0,791.0,3.0,3.0,0.0,1
56.0,144665.0,466.0,2.0,1.0,1.0,0
65.0,130366.0,645.0,1.0,1.0,2.0,0
69.0,49336.0,433.0,0.0,2.0,1.0,1
46.0,99140.0,840.0,1.0,0.0,1.0,0
44.0,78356.0,573.0,0.0,1.0,1.0,0
36.0,111651.0,667.0,3.0,2.0,0.0,0
58.0,127777.0,573.0,1.0,2.0,2.0,0
21.0,56542.0,440.0,1.0,0.0,1.0,0
57.0,72372.0,700.0,2.0,2.0,0.0,0
30.0,146671.0,457.0,3.0,0.0,0.0,0
25.0,82333.0,615.0,2.0,3.0,0.0,0
47.0,96510.0,722.0,0.0,2.0,0.0,0
58.0,47883.0,672.0,1.0,3.0,2.0,0
59.0,144494.0,460.0,0.0,2.0,1.0,0
68.0,49170.0,420.0,0.0,1.0,2.0,0
32.0,101196.0,404.0,3.0,2.0,0.0,1
21.0,88941.0,675.0,2.0,0.0,0.0,0
36.0,138712.0,626.0,3.0,0.0,0.0,0
43.0,50088.0,758.0,2.0,1.0,0.0,0
58.0,82333.0,537.0,3.0,3.0,0.0,0
49.0,82917.0,502.0,0.0,1.0,0.0,0
48.0,109422.0,541.0,2.0,0.0,1.0,0
61.0,67283.0,337.0,2.0,1.0,2.0,0
50.0,28673.0,756.0,3.0,0.0,0.0,0
64.0,55744.0,403.0,0.0,2.0,1.0,1
43.0,138491.0,573.0,2.0,1.0,2.0,1
40.0,96209.0,301.0,2.0,0.0,1.0,0
67.0,97274.0,371.0,0.0,0.0,0.0,0
39.0,69492.0,611.0,2.0,1.0,2.0,0
29.0,24721.0,733.0,1.0,2.0,0.0,0
36.0,32429.0,506.0,0.0,0.0,0.0,0
34.0,28358.0,467.0,3.0,2.0,2.0,0
49.0,89006.0,513.0,2.0,1.0,0.0,0
37.0,72898.0,491.0,1.0,1.0,1.0,0
66.0,123606.0,320.0,0.0,1.0,2.0,0
47.0,17240.0,686.0,3.0,0.0,2.0,0
61.0,115718.0,737.0,1.0,2.0,2.0,0
69.0,149376.0,474.0,1.0,0.0,2.0,0
57.0,144048.0,748.0,2.0,0.0,2.0,0
43.0,142906.0,732.0,2.0,0.0,0.0,1
43.0,102922.0,525.0,0.0,2.0,2.0,0
66.0,35530.0,573.0,3.0,2.0,0.0,0
34.0,82215.0,521.0,2.0,1.0,2.0,0
50.0,20241.0,578.0,2.0,2.0,0.0,0
26.0,62056.0,310.0,0.0,1.0,1.0,0
45.0,103656.0,328.0,1.0,0.0,1.0,0
